samp_target,disk_radius,tot_radius,fr_length,fr_width,fr_pos,styles,ploidy
3,1.64,5.3,10.61,9.49,4.86,2.0,2.0
3,1.5,5.23,10.1,9.91,5.57,2.0,2.0
3,1.7,4.72,8.34,9.39,4.08,2.0,2.0
3,1.61,4.94,9.34,9.84,4.73,2.0,2.0
3,1.49,4.91,9.68,9.19,5.34,2.0,2.0
3,1.62,4.78,9.52,9.57,4.86,2.0,2.0
3,1.41,4.51,8.91,8.71,3.95,1.0,2.0
3,1.52,5.31,9.77,10.53,4.55,2.0,2.0
3,1.37,4.21,8.51,7.93,4.01,2.0,2.0
3,1.47,4.28,8.04,8.5,4.17,2.0,2.0
3,1.49,4.63,8.98,8.68,4.77,2.0,2.0
3,1.38,4.35,8.89,8.34,4.16,2.0,2.0
3,1.45,4.14,8.97,8.29,4.8,2.0,2.0
3,1.56,4.33,7.87,8.22,3.99,3.0,2.0
3,1.42,4.13,9.46,8.17,5.29,2.0,2.0
3,1.5,4.39,9.09,8.65,4.96,2.0,2.0
3,1.37,4.17,9.03,8.39,4.78,2.0,2.0
3,1.42,4.16,8.73,7.84,4.55,2.0,2.0
3,1.58,4.25,9.21,8.2,4.22,2.0,2.0
3,1.61,4.31,7.56,8.17,3.57,2.0,2.0
3,1.66,4.66,8.71,8.85,4.8,2.0,2.0
3,1.65,4.73,9.4,8.98,5.55,2.0,2.0
3,1.63,4.36,8.1,8.2,4.03,2.0,2.0
3,1.5,4.12,8.39,7.45,4.4,2.0,2.0
3,1.55,4.33,8.11,8.75,4.32,2.0,2.0
3,1.57,4.63,8.79,8.82,4.9,2.0,2.0
3,1.93,4.15,7.17,8.2,4.37,2.0,2.0
3,1.64,3.86,7.92,7.55,3.44,2.0,2.0
3,1.21,4.1,8.07,7.12,4.68,2.0,2.0
3,1.26,4.18,9.1,8.31,4.83,3.0,2.0
3,1.29,4.09,8.23,7.7,4.22,2.0,2.0
3,1.05,3.47,7.79,6.7,4.87,1.0,2.0
3,1.16,4.1,8.2,7.96,4.58,2.0,2.0
3,1.08,4.21,9.49,8.17,5.68,2.0,2.0
3,1.44,4.34,9.39,7.88,5.5,2.0,2.0
3,1.31,3.91,7.24,7.68,4.44,2.0,2.0
3,1.17,3.59,7.0,7.23,4.42,2.0,2.0
3,1.65,4.29,8.12,8.16,3.83,2.0,2.0
3,1.56,4.76,8.15,9.4,4.26,2.0,2.0
3,1.49,4.54,8.7,8.93,4.42,2.0,2.0
3,1.58,4.08,7.95,8.04,4.71,2.0,2.0
3,1.62,4.53,9.44,8.98,5.06,2.0,2.0
3,1.74,5.05,9.68,9.29,5.43,2.0,2.0
3,1.72,4.65,9.72,8.91,4.85,2.0,2.0
3,1.68,4.8,9.94,9.38,5.47,2.0,2.0
3,1.48,4.6,8.96,8.45,5.14,1.0,2.0
3,1.53,4.76,9.78,9.46,4.73,2.0,2.0
3,1.61,5.14,11.6,10.07,6.46,2.0,2.0
3,1.68,5.09,10.46,10.02,5.74,2.0,2.0
3,1.39,3.61,8.71,6.81,5.5,2.0,2.0
3,1.45,4.38,10.38,8.45,5.11,2.0,2.0
3,1.61,4.49,10.26,8.68,5.58,2.0,2.0
3,1.37,4.31,9.71,8.46,5.47,2.0,2.0
3,1.45,3.62,8.66,6.92,4.32,2.0,2.0
3,1.44,3.99,9.42,7.73,5.12,2.0,2.0
3,1.27,3.97,8.39,7.63,4.52,2.0,2.0
3,1.43,4.03,9.1,7.97,5.01,2.0,2.0
3,1.27,3.9,9.76,7.57,5.68,2.0,2.0
3,1.5,4.58,9.93,9.0,5.85,2.0,2.0
3,1.5,4.5,10.09,8.33,5.38,3.0,2.0
3,1.13,3.51,7.9,6.74,5.57,1.0,2.0
3,1.28,4.08,8.99,7.8,5.07,2.0,2.0
3,1.2,3.57,6.81,6.49,4.44,2.0,2.0
3,1.2,4.15,8.37,8.2,5.46,2.0,2.0
3,1.12,4.02,8.39,7.61,3.88,2.0,2.0
3,1.41,4.6,8.2,8.17,4.23,2.0,2.0
3,1.13,3.83,8.51,7.03,5.02,2.0,2.0
3,1.34,4.18,7.56,8.21,3.67,2.0,2.0
3,1.17,4.22,8.38,8.36,5.46,2.0,2.0
3,1.12,3.63,7.32,7.03,4.85,2.0,2.0
3,1.6,4.53,11.09,8.6,5.42,2.0,2.0
